price,area,district
399000, 26, Bielany
699000, 25.94, Wola
617000, 25, Praga - Południe
474999, 28, Mokotów
480000, 27, Mokotów
555072, 33.04, Praga - Północ
522000, 29, Targówek
670000, 38.02, Ochota
620000, 34.55, Ochota
629000, 31.06, Mokotów
569000, 34, Bielany
569000, 25.29, Ochota
452800, 28, Targówek
794600, 29.43, Wola
660000, 36.83, Targówek
649000, 38.55, Praga - Południe
660000, 39.80, Praga - Południe
560000, 29, Praga - Południe
580000, 25.30, Mokotów
499000, 25, Żoliborz
626480, 32.50, Bemowo
650000, 22, Śródmieście
820000, 48.30, Mokotów
676200, 33.78, Wola
505000, 27, Mokotów
558000, 28.08, Wola
565000, 27, Wola
695000, 28, Wola
545000, 35.10, Białołęka
518000, 24, Wola
667000, 34.50, Bielany
640000, 36.98, Bemowo
359000, 17.26, Włochy
355000, 21.50, Wawer
622000, 27.06, Ochota
425000, 27, Targówek
480000, 25, Bielany
640000, 31.81, Praga - Północ
500000, 19.37, Śródmieście
589000, 26.50, Wola
708400, 25.75, Śródmieście
463000, 37.50, Targówek
640000, 26, Śródmieście
470000, 27, Bielany
930000, 29, Śródmieście
680800, 34.04, Praga - Południe
550000, 37.30, Białołęka
498254.50, 29.57, Włochy
569000, 27.53, Mokotów
549000, 31.20, Mokotów
799000, 65, Bielany
540000, 34.10, Praga - Południe
530000, 20, Żoliborz
519840, 27.36, Bemowo
496000, 25.70, Ochota
749000, 31, Żoliborz
727999, 56, Ursynów
794600, 29.43, Wola
643000, 23.08, Śródmieście
476000, 23.80, Praga - Południe
1170000, 33.30, Wola
735000, 39, Wola
475000, 22, Wola
574900, 25, Mokotów
955000, 40, Śródmieście
417000, 29.66, Targówek
505000, 27, Mokotów
599000, 20.13, Śródmieście
450000, 19, Mokotów
465000, 16, Wola
403000, 27, Białołęka
537000, 28.33, Praga - Południe
660000, 26.80, Wola
449000, 14.04, Śródmieście
579000, 32, Mokotów
575000, 27.23, Praga - Południe
480000, 25, Bielany
659000, 35, Włochy
794600, 29.43, Wola
585000, 25, Śródmieście
549000, 15, Śródmieście
599000, 20.87, Śródmieście
600000, 22.70, Śródmieście
439000, 20, Ochota
620000, 35.50, Włochy
470000, 27, Bielany
545000, 20.80, Wola
794600, 29.43, Śródmieście / Mirów
505000, 27, Mokotów
599000, 37, Żoliborz
695000, 36, Żoliborz
454080, 19.20, Mokotów
450000, 18.10, Mokotów
480000, 20, Bielany
560000, 32, Bemowo
1270000, 86.50, Białołęka
618000, 29.50, Ursus
669000, 27.70, Bemowo
615000, 31, Mokotów
520000, 31, Ursynów
929000, 27.51, Śródmieście
565000, 28.40, Wola
585000, 26.60, Wola
549997, 24.50, Ochota
411201, 25.62, Rembertów
445000, 35.79, Białołęka
560000, 25.50, Praga - Południe
549000, 31, Praga - Północ
499000, 33.40, Białołęka
649000, 31.87, Praga - Północ
660000, 29.71, Wilanów
589000, 26, Praga - Południe
399000, 17.50, Bielany
745000, 36.02, Ursynów
620000, 36, Ochota
399000, 20, Mokotów
619850, 28.41, Targówek
480000, 25, Bielany
615000, 35.07, Praga - Północ
653300, 23.50, Praga - Południe
799000, 32, Śródmieście
552000, 27.13, Ursus
768000, 30, Żoliborz
460000, 28, Bielany
1377292, 39.22, Wola
519000, 32, Praga - Południe
648000, 27, Wola
333000, 17, Ochota
794600, 29.43, Wola
464500, 33.06, Targówek
505000, 27, Mokotów
620000, 31.15, Targówek
465000, 33.05, Targówek
705000, 30, Praga - Północ
659000, 27.10, Śródmieście
599000, 20.90, Wola
790624, 31.88, Praga - Południe
659000, 31.75, Bemowo
855000, 34.20, Wola
549000, 30, Praga - Południe
435000, 27, Bielany
596156, 31.88, Mokotów
620000, 27, Mokotów
450000, 22.25, Praga - Północ
539000, 19, Mokotów
699000, 28.50, Żoliborz
649000, 21.15, Warszawa
695000, 44.80, Praga - Południe
480000, 25, Bielany
680000, 36.75, Bemowo
730000, 33.40, Żoliborz
600000, 18, Śródmieście
680000, 33, Bemowo
710000, 35.50, Bemowo
589000, 26, Praga - Południe
538000, 19, Mokotów
579000, 31, Mokotów
575000, 21, Wola
762000, 61, Praga - Północ
839000, 32, Śródmieście
769500, 54, Ursus
585900, 31, Mokotów
520500, 34.70, Białołęka
630000, 30.50, Włochy
690000, 24, Wola
999000, 51.16, Wola
490000, 24.50, Praga - Północ
505000, 27, Mokotów
745000, 33.50, Mokotów
650000, 31.66, Włochy
550000, 30.40, Wola
472000, 33.55, Targówek
299000, 15.14, Włochy
725000, 35.40, Mokotów
550000, 27, Bielany
590000, 28, Włochy
890000, 30, Śródmieście
520000, 24.51, Wola
399000, 15.67, Mokotów
510000, 27, Targówek
859990, 27, Śródmieście
610000, 25, Bielany
845000, 27, Wola
695000, 26, Mokotów
950000, 53, Wola
499000, 30, Białołęka
794600, 29.43, Wola
499000, 25, Ochota
480000, 25, Bielany
620000, 35.28, Wola
480000, 22, Wola
849000, 38, Wola
379000, 19, Wola
635000, 26, Mokotów
550000, 37.80, Praga - Północ
720000, 25.69, Praga - Południe
669000, 34, Ochota
660000, 31, Mokotów
539000, 26.60, Wola
290000, 34.16, Praga - Północ
570000, 31.64, Ochota
565000, 26.40, Mokotów
721248, 40.98, Praga - Północ
402000, 27, Białołęka
499000, 20, Śródmieście
545000, 20.82, Wola
549000, 31, Mokotów
820000, 54, Wola
650000, 20.13, Śródmieście
508800, 32, Białołęka
699999, 30.50, Bemowo
455000, 31, Białołęka
299000, 15.14, Włochy
289000, 21, Śródmieście
505000, 27, Mokotów
815000, 29, Wola
680000, 20.87, Śródmieście
390000, 20, Mokotów
390000, 25.53, Białołęka
1799000, 87.45, Śródmieście
450000, 30.20, Białołęka
599000, 25.60, Ochota
