Powierzchnia,Cena,Dzielnica
"25,94","699 000,00 zł",Wola
25,"499 000,00 zł",Ochota
"29,43","794 600,00 zł",Wola
22,"499 000,00 zł",Ochota
"25,95","569 000,00 zł",Ochota
26,"399 000,00 zł",Bielany
"31,7","530 000,00 zł",Białołęka
34,"640 000,00 zł",Ursynów
20,"419 000,00 zł",Żoliborz
"25,6","599 000,00 zł",Ochota
28,"549 990,00 zł",Ochota
31,"595 000,00 zł",Mokotów
"25,6","599 000,00 zł",Ochota
"37,5","656 000,00 zł",Bemowo
26,"399 000,00 zł",Bielany
"31,5","550 000,00 zł",Mokotów
25,"585 000,00 zł",Sródmieście
24,"559 000,00 zł",Sródmieście
"35,2","539 000,00 zł",Praga
"35,1","545 000,00 zł",Białołęka
"26,57","549 000,00 zł",Żoliborz
"31,06","529 000,00 zł",Mokotów
27,"620 000,00 zł",Mokotów
"18,04","429 000,00 zł",Praga
29,"555 000,00 zł",Bielany
19,"539 000,00 zł",Mokotów
"31,56","555 000,00 zł",Mokotów
"24,4","459 000,00 zł",Mokotów
20,"435 000,00 zł",Żoliborz
"37,5","463 000,00 zł",Targówek
"28,61","440 000,00 zł",Białołęka
"25,6","599 000,00 zł",Ochota
"37,5","656 000,00 zł",Bemowo
26,"399 000,00 zł",Bielany
"28,5","649 000,00 zł",Powiśle
29,"560 000,00 zł",Praga
